"Wave","Domein","Subdomein","API-route","Methods","Auth","Bestand","Status"
"6","admin","","/api/admin/ad-campaign-status","POST","admin-token","admin/ad-campaign-status.js","todo"
"6","admin","","/api/admin/ai-visibility","GET","admin-token","admin/ai-visibility.js","todo"
"6","admin","","/api/admin/alert-rules","GET/POST","admin-token","admin/alert-rules.js","todo"
"6","admin","","/api/admin/alert-rules-parse","POST","admin-token","admin/alert-rules-parse.js","todo"
"6","admin","","/api/admin/automation-ai","POST","admin-token","admin/automation-ai.js","todo"
"6","admin","","/api/admin/automation-new-collection","GET/POST","admin-token","admin/automation-new-collection.js","todo"
"6","admin","","/api/admin/automations","GET/POST","admin-token","admin/automations.js","todo"
"6","admin","","/api/admin/beeldbank","GET","admin-token","admin/beeldbank.js","todo"
"6","admin","","/api/admin/beeldbank-classify","GET/POST","admin-token","admin/beeldbank-classify.js","todo"
"6","admin","","/api/admin/beeldbank-dedup","GET/POST","admin-token","admin/beeldbank-dedup.js","todo"
"6","admin","","/api/admin/bol-cancel","GET/POST","admin-token","admin/bol-cancel.js","todo"
"6","admin","","/api/admin/bol-content","GET/POST","admin-token","admin/bol-content.js","todo"
"6","admin","","/api/admin/bol-diagnose","GET","admin-token","admin/bol-diagnose.js","todo"
"6","admin","","/api/admin/bol-insights","GET/POST","admin-token","admin/bol-insights.js","todo"
"6","admin","","/api/admin/bol-order-debug","GET","admin-token","admin/bol-order-debug.js","todo"
"6","admin","","/api/admin/bol-orders","GET","admin-token","admin/bol-orders.js","todo"
"6","admin","","/api/admin/bol-orders-history","GET","admin-token","admin/bol-orders-history.js","todo"
"6","admin","","/api/admin/bol-pipeline-status","GET","admin-token","admin/bol-pipeline-status.js","todo"
"6","admin","","/api/admin/bol-returns","GET","admin-token","admin/bol-returns.js","todo"
"6","admin","","/api/admin/bol-settings","GET/POST","admin-token","admin/bol-settings.js","todo"
"6","admin","","/api/admin/bol-shipment-repush","POST","admin-token","admin/bol-shipment-repush.js","todo"
"6","admin","","/api/admin/bol-shipment-sync","GET/POST","admin-token","admin/bol-shipment-sync.js","todo"
"6","admin","","/api/admin/bol-shopify-sync","GET/POST","admin-token","admin/bol-shopify-sync.js","todo"
"6","admin","","/api/admin/bol-srs-login-test","POST","admin-token","admin/bol-srs-login-test.js","todo"
"6","admin","","/api/admin/bol-srs-repush","POST","admin-token","admin/bol-srs-repush.js","todo"
"6","admin","","/api/admin/bol-srs-sync","GET/POST","admin-token","admin/bol-srs-sync.js","todo"
"6","admin","","/api/admin/bol-status","GET","admin-token","admin/bol-status.js","todo"
"6","admin","","/api/admin/bol-stock","GET/POST","admin-token","admin/bol-stock.js","todo"
"6","admin","","/api/admin/brandbook","GET","admin-token","admin/brandbook.js","todo"
"6","admin","","/api/admin/bundle-pairs","GET","admin-token","admin/bundle-pairs.js","todo"
"6","admin","","/api/admin/content-calendar","GET","admin-token","admin/content-calendar.js","todo"
"6","admin","","/api/admin/content-checks","GET","admin-token","admin/content-checks.js","todo"
"6","admin","","/api/admin/content-generate-description","POST","admin-token","admin/content-generate-description.js","todo"
"6","admin","","/api/admin/content-save-description","POST","admin-token","admin/content-save-description.js","todo"
"6","admin","","/api/admin/cron-config","GET/POST","admin-token","admin/cron-config.js","todo"
"6","admin","","/api/admin/cron-log","GET","admin-token","admin/cron-log.js","todo"
"6","admin","","/api/admin/cron-trigger","POST","admin-token","admin/cron-trigger.js","todo"
"6","admin","","/api/admin/customer-gdpr-export","GET","admin-token","admin/customer-gdpr-export.js","todo"
"6","admin","","/api/admin/customer-inquiries","GET/POST","admin-token","admin/customer-inquiries.js","todo"
"6","admin","","/api/admin/customer-notes","GET/POST","admin-token","admin/customer-notes.js","todo"
"6","admin","","/api/admin/customer-notes-export","GET","admin-token","admin/customer-notes-export.js","todo"
"6","admin","","/api/admin/customer-report-mail-config","GET/POST","admin-token","admin/customer-report-mail-config.js","todo"
"6","admin","","/api/admin/customer-report-send-now","POST","admin-token","admin/customer-report-send-now.js","todo"
